 Name,Team,GP,G,A,Pts,+/-,PIM,Hits,BkS,FW,FL,FO%,PPG,PPA,SHG,SHA,GW,SOG,Pct
 Tom Pyatt,TAM,74,12,7,19,-19,8,40,52,128,153,0.456,1,0,0,0,1,95,0.126
 Jan Hejda,COL,81,5,14,19,-17,24,142,134,1,0,1,0,0,0,0,1,78,0.064
 Torrey Mitchell,MIN,76,9,10,19,-6,29,94,33,36,47,0.434,0,0,0,0,0,100,0.09
 Dmitry Orlov,WAS,60,3,16,19,1,18,99,54,0,1,0,0,2,0,0,1,51,0.059
 Carlo Colaiacovo,DET,64,2,17,19,7,22,73,81,0,0,N/A,0,8,0,0,2,68,0.029
 Chris Phillips,OTT,80,5,14,19,12,16,134,137,0,0,N/A,4,0,0,2,1,85,0.059
 Matthew Lombardi,ANA,62,8,10,18,-19,10,58,34,151,155,0.493,0,0,1,0,2,101,0.079
 Yannick Weber,VAN,60,4,14,18,-7,30,49,47,0,0,N/A,4,4,0,0,0,88,0.045
 Adam Larsson,NJD,65,2,16,18,-7,20,94,67,0,0,N/A,0,4,0,1,0,68,0.029
 Brooks Orpik,PIT,73,2,16,18,19,61,259,139,0,0,N/A,0,0,0,1,0,44,0.045
 Johnny Oduya,CHI,81,3,15,18,-6,33,64,140,0,0,N/A,0,0,0,0,1,82,0.037
 Anton Stralman,NYR,53,2,16,18,9,20,76,71,0,0,N/A,0,4,0,0,0,55,0.036
 Matt D'Agostini,PIT,55,9,9,18,12,27,48,18,8,21,0.276,3,0,0,0,3,101,0.089
 Nick Bonino,ANA,50,5,13,18,1,8,18,39,195,259,0.43,0,1,0,0,0,63,0.079
 Craig Adams,PIT,82,5,13,18,-6,34,162,45,132,160,0.452,0,0,0,3,0,76,0.066
 Matt Stajan,CGY,61,8,10,18,-3,29,49,33,331,308,0.518,0,2,0,0,1,77,0.104
 Joel Ward,WAS,73,6,12,18,12,20,75,41,29,23,0.558,0,0,0,0,0,79,0.076
 Mike Knuble,PHI,72,6,12,18,-15,32,86,45,14,13,0.519,0,4,0,0,0,91,0.066
 Brayden Schenn,PHI,54,12,6,18,-7,34,136,26,201,235,0.461,4,1,0,0,3,97,0.124
 Manny Malhotra,VAN,78,7,11,18,-11,14,44,45,536,380,0.585,0,0,0,0,2,60,0.117
 Tim Gleason,CAR,82,1,17,18,12,71,129,112,0,0,N/A,0,2,0,1,0,65,0.015
 Brandon Prust,MON,82,5,12,17,-1,156,144,51,3,2,0.6,0,0,2,0,2,68,0.074
 Karl Alzner,WAS,82,1,16,17,12,29,74,139,0,0,N/A,0,1,0,0,0,56,0.018
 Andrew Desjardins,SAN,76,4,13,17,4,47,93,49,192,170,0.53,0,0,0,1,3,80,0.05
 Joni Pitkanen,CAR,30,5,12,17,-15,16,27,43,0,0,N/A,2,6,0,0,2,62,0.081
 Mark Fayne,NJD,82,4,13,17,-4,26,84,88,0,0,N/A,0,2,0,1,1,94,0.043
 Grant Clitsome,WPG,63,4,13,17,-9,32,85,61,0,1,0,1,4,0,1,1,87,0.046
 Samuel Pahlsson,VAN,80,4,13,17,-2,34,123,37,540,486,0.526,0,0,1,1,1,93,0.043
 Jay McClement,TOR,80,10,7,17,-8,31,72,54,448,425,0.513,0,0,1,0,1,95,0.105
 Deryk Engelland,PIT,73,4,13,17,10,56,174,77,0,0,N/A,0,0,0,0,1,86,0.047
 Jared Cowen,OTT,82,5,12,17,-4,56,217,74,0,0,N/A,0,1,0,1,1,58,0.086
 Simon Gagne,PHI,34,7,10,17,-1,18,17,10,2,5,0.286,0,4,1,0,2,75,0.093
 Dustin Penner,ANA,65,7,10,17,-7,43,90,16,14,18,0.438,1,0,0,0,0,119,0.059
 Peter Mueller,FLA,32,7,9,16,-3,8,14,10,6,4,0.6,1,4,0,0,1,82,0.085
 Tanner Glass,PIT,78,5,11,16,-12,73,246,51,29,44,0.397,0,0,0,0,1,86,0.058
 Arron Asham,NYR,64,5,11,16,-5,76,95,8,6,5,0.545,0,0,0,0,0,49,0.102
